SensorCode,DateTimeUtc,Address,Mean,Max,Packets,Oui,Channel,Retry,PacketType
557,7-3-2020 14:14,9N/cyKC+WHc=,-77,-77,2,play,,,
557,7-3-2020 14:52,f5Id9uWTxZ8=,-87,-87,1,zsG/,,,
557,7-3-2020 15:07,qrYxoJ3AOhk=,-67,-67,1,osNM,,,
557,7-3-2020 18:46,YN/HQ953/m4=,-85,-85,1,0LEo,,,
557,8-3-2020 20:33,Ba91mmHq4kA=,-87,-87,1,NBKY,,,
557,9-3-2020 02:18,aQuolMvxuRk=,-773,-69,30,wEoA,,,
557,9-3-2020 14:16,/vH+aQXpJwI=,-75,-75,1,GpN2,,,
557,9-3-2020 20:48,A2k6jYOFD6k=,-85,-85,2,VCqi,,,
557,10-3-2020 02:28,4eua+bfv9NU=,-84,-83,2,QIMd,,,
557,10-3-2020 08:25,8Vc+TT5vHt4=,-85,-85,1,Qs5X,,,
557,10-3-2020 12:30,z1iMEnxdKfI=,-77,-81,2,fN2Q,,,
557,10-3-2020 21:27,u61uFHJX72Q=,-87,-87,1,sHK/,,,
557,11-3-2020 10:21,CGomEJmri3k=,-81,-79,2,#NAME?,,,
557,11-3-2020 13:23,ySdiEknJZ7U=,-85,-85,2,2FV1,,,
557,11-3-2020 15:21,X+BPiYQD6Rc=,-79,-79,1,AmRw,,,
557,11-3-2020 22:05,TZhUsf1y0Oo=,-839,-81,11,GJ78,,,
557,12-3-2020 00:10,aQuolMvxuRk=,-735,-69,39,wEoA,,,
557,12-3-2020 08:47,BV6TosXytx0=,-75,-75,1,lkCE,,,
557,12-3-2020 11:45,C4yNhIwz43A=,-81,-81,1,doU0,,,
557,12-3-2020 18:40,0dju9B/MEFM=,-57,-57,1,ckFv,,,
557,13-3-2020 03:56,z1iMEnxdKfI=,-87,-87,1,fN2Q,,,
557,13-3-2020 16:05,4IPLC0eQd0Q=,-89,-89,1,fEaF,,,
557,13-3-2020 16:32,aQuolMvxuRk=,-749,-71,14,wEoA,,,
557,13-3-2020 17:24,N8DfAnVJHVc=,-83,-83,1,LoXe,,,
557,14-3-2020 03:30,tQXGYuqMgQI=,-87,-87,1,/GlH,,,
557,14-3-2020 09:53,sUCnxEP8p5o=,-79,-79,1,rugC,,,
557,14-3-2020 12:01,RG7bOCgMef0=,-73,-73,1,2qEZ,,,
557,14-3-2020 13:51,odUGeSx5DEA=,-71,-71,1,ZguR,,,
557,14-3-2020 14:06,5ehGb1goYk4=,-75,-75,1,Wubl,,,
557,14-3-2020 14:07,8albQJzSxZQ=,-81,-81,1,XknN,,,
557,14-3-2020 14:40,0hw/ApN+GCo=,-51,-51,2,evWz,,,
557,14-3-2020 16:36,z1iMEnxdKfI=,-89,-89,1,fN2Q,,,
557,15-3-2020 05:18,i7XOoJO/e+8=,-65,-65,1,aOzF,,,
557,15-3-2020 07:30,CY5Wn4zlT6Q=,-81,-81,1,9MJI,,,
557,15-3-2020 20:04,9+zPemF9XT4=,-85,-85,1,TBuG,,,
557,16-3-2020 06:17,2OPhgtuBFrw=,-84,-83,2,cPEc,,,
557,16-3-2020 12:01,2OPhgtuBFrw=,-80,-81,2,cPEc,,,
557,16-3-2020 13:20,aQuolMvxuRk=,-719,-71,11,wEoA,,,
557,17-3-2020 07:03,ZkIa3XPMuRU=,-58,-59,2,uLuv,,,
557,17-3-2020 13:03,dmW3v8zLDyw=,-87,-87,1,1DsE,,,
